,name,total_time,f2l_time,ll_time,cross+1_time,ols_time,pll_time,total_time_percent,f2l_time_percent,ll_time_percent,cross+1_percent,ols_percent,pll_percent,total_stm,f2l_stm,ll_stm,cross+1_stm,ols_stm,pll_stm,total_stps,f2l_stps,ll_stps,cross+1_stps,ols_stps,pll_stps,total_etm,f2l_etm,ll_etm,cross+1_etm,ols_etm,pll_etm,total_etps,f2l_etps,ll_etps,cross+1_etps,ols_etps,pll_etps,cross_type,zbll,num_steps
82,Yiheng Wang,5.84,3.6,2.24,1.27,1.97,1.04,100.0,61.6,38.4,21.7,33.7,17.8,69.0,39.0,30.0,11.0,27.0,15.0,11.82,10.83,13.39,8.66,13.71,14.42,73.0,43.0,30.0,12.0,28.0,15.0,12.5,11.94,13.39,9.45,14.21,14.42,cross,False,7.0
83,Yiheng Wang,6.05,3.57,2.48,1.27,1.57,1.42,100.0,59.0,41.0,21.0,26.0,23.5,61.0,38.0,23.0,12.0,16.0,15.0,10.08,10.64,9.27,9.45,10.19,10.56,62.0,39.0,23.0,12.0,16.0,15.0,10.25,10.92,9.27,9.45,10.19,10.56,cross,False,7.0
84,Yiheng Wang,5.16,2.77,2.39,1.13,0.97,1.59,100.0,53.7,46.3,21.9,18.8,30.8,55.0,25.0,30.0,9.0,11.0,21.0,10.66,9.03,12.55,7.96,11.34,13.21,57.0,27.0,30.0,10.0,11.0,21.0,11.05,9.75,12.55,8.85,11.34,13.21,cross,False,7.0
85,Yiheng Wang,4.43,2.57,1.86,1.17,1.6,1.1,100.0,58.0,42.0,26.4,36.1,24.8,45.0,20.0,25.0,6.0,17.0,15.0,10.16,7.78,13.44,5.13,10.63,13.64,49.0,24.0,25.0,7.0,20.0,15.0,11.06,9.34,13.44,5.98,12.5,13.64,xxcross,False,5.0
86,Kyle Santucci,6.16,3.04,3.12,1.24,2.04,1.56,100.0,49.4,50.6,20.1,33.1,25.3,66.0,36.0,30.0,11.0,22.0,16.0,10.71,11.84,9.62,8.87,10.78,10.26,67.0,37.0,30.0,11.0,22.0,16.0,10.88,12.17,9.62,8.87,10.78,10.26,xcross,False,6.0
87,Kyle Santucci,4.74,3.64,1.1,1.4,1.0,1.1,100.0,76.8,23.2,29.5,21.1,23.2,41.0,31.0,10.0,9.0,9.0,10.0,8.65,8.52,9.09,6.43,9.0,9.09,43.0,31.0,12.0,9.0,9.0,12.0,9.07,8.52,10.91,6.43,9.0,10.91,xcross,False,5.0
88,Kyle Santucci,5.34,3.48,1.86,1.6,1.32,1.18,100.0,65.2,34.8,30.0,24.7,22.1,63.0,39.0,24.0,16.0,16.0,16.0,11.8,11.21,12.9,10.0,12.12,13.56,63.0,39.0,24.0,16.0,16.0,16.0,11.8,11.21,12.9,10.0,12.12,13.56,cross,False,7.0
89,Kyle Santucci,5.11,3.0,2.11,1.92,1.64,1.23,100.0,58.7,41.3,37.6,32.1,24.1,48.0,26.0,22.0,14.0,20.0,10.0,9.39,8.67,10.43,7.29,12.2,8.13,51.0,28.0,23.0,15.0,21.0,11.0,9.98,9.33,10.9,7.81,12.8,8.94,xxcross,False,5.0
90,Kyle Santucci,5.67,3.32,2.35,1.4,1.48,1.27,100.0,58.6,41.4,24.7,26.1,22.4,63.0,36.0,27.0,14.0,18.0,16.0,11.11,10.84,11.49,10.0,12.16,12.6,64.0,37.0,27.0,14.0,18.0,16.0,11.29,11.14,11.49,10.0,12.16,12.6,cross,False,7.0
91,Max Park,4.18,2.53,1.65,0.9,1.47,0.95,100.0,60.5,39.5,21.5,35.2,22.7,56.0,30.0,26.0,11.0,20.0,14.0,13.4,11.86,15.76,12.22,13.61,14.74,58.0,32.0,26.0,11.0,21.0,14.0,13.88,12.65,15.76,12.22,14.29,14.74,xcross,False,6.0
